 TEMPO   H     FO   dHdt     dFOdt
 0.000  0.000  0.000
 0.100  0.095  0.095  0.905  0.905
 0.200  0.181  0.181  0.819  0.819
 0.300  0.259  0.259  0.741  0.741
 0.400  0.330  0.330  0.670  0.670
 0.500  0.393  0.393  0.607  0.607
 0.600  0.451  0.451  0.549  0.549
 0.700  0.503  0.503  0.497  0.497
 0.800  0.551  0.551  0.449  0.449
 0.900  0.593  0.593  0.407  0.407
 1.000  0.632  0.632  0.368  0.368
 1.100  0.667  0.667  0.333  0.333
 1.200  0.699  0.699  0.301  0.301
 1.300  0.727  0.727  0.273  0.273
 1.400  0.753  0.753  0.247  0.247
 1.500  0.777  0.777  0.223  0.223
 1.600  0.798  0.798  0.202  0.202
 1.700  0.817  0.817  0.183  0.183
 1.800  0.835  0.835  0.165  0.165
 1.900  0.850  0.850  0.150  0.150
 2.000  0.865  0.865  0.135  0.135
 2.100  0.878  0.878  0.122  0.122
 2.200  0.889  0.889  0.111  0.111
 2.300  0.900  0.900  0.100  0.100
 2.400  0.909  0.909  0.091  0.091
 2.500  0.918  0.918  0.082  0.082
 2.600  0.926  0.926  0.074  0.074
 2.700  0.933  0.933  0.067  0.067
 2.800  0.939  0.939  0.061  0.061
 2.900  0.945  0.945  0.055  0.055
 3.000  0.950  0.950  0.050  0.050
 3.100  0.955  0.955  0.045  0.045
 3.200  0.959  0.959  0.041  0.041
 3.300  0.963  0.963  0.037  0.037
 3.400  0.967  0.967  0.033  0.033
 3.500  0.970  0.970  0.030  0.030
 3.600  0.973  0.973  0.027  0.027
 3.700  0.975  0.975  0.025  0.025
 3.800  0.978  0.978  0.022  0.022
 3.900  0.980  0.980  0.020  0.020
 4.000  0.982  0.982  0.018  0.018
 4.100  0.983  0.983  0.017  0.017
 4.200  0.985  0.985  0.015  0.015
 4.300  0.986  0.986  0.014  0.014
 4.400  0.988  0.988  0.012  0.012
 4.500  0.989  0.989  0.011  0.011
 4.600  0.990  0.990  0.010  0.010
 4.700  0.991  0.991  0.009  0.009
 4.800  0.992  0.992  0.008  0.008
 4.900  0.993  0.993  0.007  0.007
 5.000  0.993  0.993  0.007  0.007
 5.100  0.994  0.994  0.006  0.006
 5.200  0.994  0.994  0.006  0.006
 5.300  0.995  0.995  0.005  0.005
 5.400  0.995  0.995  0.005  0.005
 5.500  0.996  0.996  0.004  0.004
 5.600  0.996  0.996  0.004  0.004
 5.700  0.997  0.997  0.003  0.003
 5.800  0.997  0.997  0.003  0.003
 5.900  0.997  0.997  0.003  0.003
 6.000  0.998  0.998  0.002  0.002
 6.100  0.998  0.998  0.002  0.002
 6.200  0.998  0.998  0.002  0.002
 6.300  0.998  0.998  0.002  0.002
 6.400  0.998  0.998  0.002  0.002
 6.500  0.998  0.998  0.002  0.002
 6.600  0.999  0.999  0.001  0.001
 6.700  0.999  0.999  0.001  0.001
 6.800  0.999  0.999  0.001  0.001
 6.900  0.999  0.999  0.001  0.001
 7.000  0.999  0.999  0.001  0.001
 7.100  0.999  0.999  0.001  0.001
 7.200  0.999  0.999  0.001  0.001
 7.300  0.999  0.999  0.001  0.001
 7.400  0.999  0.999  0.001  0.001
 7.500  0.999  0.999  0.001  0.001
 7.600  0.999  0.999  0.001  0.001
 7.700  1.000  1.000  0.000  0.000
 7.800  1.000  1.000  0.000  0.000
 7.900  1.000  1.000  0.000  0.000
 8.000  1.000  1.000  0.000  0.000
 8.100  1.000  1.000  0.000  0.000
 8.200  1.000  1.000  0.000  0.000
 8.300  1.000  1.000  0.000  0.000
 8.400  1.000  1.000  0.000  0.000
 8.500  1.000  1.000  0.000  0.000
 8.600  1.000  1.000  0.000  0.000
 8.700  1.000  1.000  0.000  0.000
 8.800  1.000  1.000  0.000  0.000
 8.900  1.000  1.000  0.000  0.000
 9.000  1.000  1.000  0.000  0.000
 9.100  1.000  1.000  0.000  0.000
 9.200  1.000  1.000  0.000  0.000
 9.300  1.000  1.000  0.000  0.000
 9.400  1.000  1.000  0.000  0.000
 9.500  1.000  1.000  0.000  0.000
 9.600  1.000  1.000  0.000  0.000
 9.700  1.000  1.000  0.000  0.000
 9.800  1.000  1.000  0.000  0.000
 9.900  1.000  1.000  0.000  0.000
10.000  1.000  1.000  0.000  0.000
10.100  1.000  1.000  0.000  0.000
10.200  1.000  1.000  0.000  0.000
10.300  1.000  1.000  0.000  0.000
10.400  1.000  1.000  0.000  0.000
10.500  1.000  1.000  0.000  0.000
10.600  1.000  1.000  0.000  0.000
10.700  1.000  1.000  0.000  0.000
10.800  1.000  1.000  0.000  0.000
10.900  1.000  1.000  0.000  0.000
11.000  1.000  1.000  0.000  0.000
11.100  1.000  1.000  0.000  0.000
11.200  1.000  1.000  0.000  0.000
11.300  1.000  1.000  0.000  0.000
11.400  1.000  1.000  0.000  0.000
11.500  1.000  1.000  0.000  0.000
11.600  1.000  1.000  0.000  0.000
11.700  1.000  1.000  0.000  0.000
11.800  1.000  1.000  0.000  0.000
11.900  1.000  1.000  0.000  0.000
